City/Town,Ward,Pct,"Baker and Polito","Gonzalez and Palfrey","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Abington,-,1,984,311,3,45,"1,343"
Abington,-,2,967,330,2,62,"1,361"
Abington,-,3,"1,047",325,6,68,"1,446"
Abington,-,4,"1,247",350,1,68,"1,666"
Abington,-,5,"1,167",370,4,55,"1,596"
Acton,-,1,"1,074",649,3,40,"1,766"
Acton,-,2,"1,230",666,2,43,"1,941"
Acton,-,3,"1,141",732,6,39,"1,918"
Acton,-,4,"1,159",790,6,36,"1,991"
Acton,-,5,"1,152",707,0,44,"1,903"
Acton,-,6,"1,018",597,5,45,"1,665"
Acushnet,-,1,882,341,0,46,"1,269"
Acushnet,-,2,"1,126",338,8,52,"1,524"
Acushnet,-,3,"1,134",316,4,50,"1,504"
Adams,-,1,294,243,0,11,548
Adams,-,2,364,268,0,22,654
Adams,-,3,396,241,1,22,660
Adams,-,4,325,241,1,7,574
Adams,-,5,453,284,0,18,755
Agawam,-,1,974,252,2,25,"1,253"
Agawam,-,2,"1,418",274,3,54,"1,749"
Agawam,-,3,"1,127",281,2,48,"1,458"
Agawam,-,4,959,249,7,27,"1,242"
Agawam,-,5,"1,389",307,8,56,"1,760"
Agawam,-,6,"1,131",242,7,31,"1,411"
Agawam,-,7,"1,218",258,13,52,"1,541"
Agawam,-,8,"1,320",272,8,46,"1,646"
Alford,-,1,98,158,0,5,261
Amesbury,-,1,"1,077",371,2,31,"1,481"
Amesbury,-,2,834,422,4,42,"1,302"
Amesbury,-,3,911,409,5,29,"1,354"
Amesbury,-,4,750,296,2,30,"1,078"
Amesbury,-,5,"1,068",311,6,44,"1,429"
Amesbury,-,6,750,401,2,29,"1,182"
Amherst,-,1,234,617,0,24,875
Amherst,-,2,444,828,2,31,"1,305"
Amherst,-,3,226,452,1,17,696
Amherst,-,4,228,414,0,19,661
Amherst,-,5,337,633,2,22,994
Amherst,-,6,458,985,1,34,"1,478"
Amherst,-,7,460,940,2,20,"1,422"
Amherst,-,8,599,"1,033",3,33,"1,668"
Amherst,-,9,327,855,2,27,"1,211"
Amherst,-,10,241,565,1,20,827
Andover,-,1,969,514,4,28,"1,515"
Andover,-,2,"1,414",478,7,46,"1,945"
Andover,-,3,"1,290",550,5,52,"1,897"
Andover,-,4,"1,394",425,8,37,"1,864"
Andover,-,5,"1,456",439,4,46,"1,945"
Andover,-,6,"1,320",434,7,55,"1,816"
Andover,-,7,"1,085",343,4,32,"1,464"
Andover,-,7A,275,87,2,12,376
Andover,-,8,"1,297",494,5,46,"1,842"
Andover,-,9,"1,393",422,8,46,"1,869"
Aquinnah,-,1,106,156,0,5,267
Arlington,-,1,376,444,2,17,839
Arlington,-,2,601,608,1,33,"1,243"
Arlington,-,3,470,731,1,25,"1,227"
Arlington,-,4,414,676,4,26,"1,120"
Arlington,-,5,497,593,2,24,"1,116"
Arlington,-,6,439,653,0,25,"1,117"
Arlington,-,7,450,555,2,30,"1,037"
Arlington,-,8,508,713,2,48,"1,271"
Arlington,-,9,533,528,5,31,"1,097"
Arlington,-,10,521,671,2,33,"1,227"
Arlington,-,11,664,566,2,28,"1,260"
Arlington,-,12,677,655,1,34,"1,367"
Arlington,-,13,774,368,4,29,"1,175"
Arlington,-,14,497,579,1,31,"1,108"
Arlington,-,15,630,557,2,38,"1,227"
Arlington,-,16,573,533,0,33,"1,139"
Arlington,-,17,456,537,4,36,"1,033"
Arlington,-,18,733,473,2,53,"1,261"
Arlington,-,19,619,557,0,26,"1,202"
Arlington,-,20,527,580,2,32,"1,141"
Arlington,-,21,557,565,1,31,"1,154"
Ashburnham,-,1,"2,087",661,11,90,"2,849"
Ashby,-,1,"1,247",308,0,48,"1,603"
Ashfield,-,1,450,586,0,15,"1,051"
Ashland,-,1,"1,008",468,0,31,"1,507"
Ashland,-,2,"1,202",425,0,34,"1,661"
Ashland,-,3,"1,067",434,0,31,"1,532"
Ashland,-,4,"1,040",424,0,31,"1,495"
Ashland,-,5,"1,121",455,0,48,"1,624"
Athol,-,1,"1,075",310,6,23,"1,414"
Athol,-,2,981,259,4,21,"1,265"
Athol,-,3,937,267,5,27,"1,236"
Attleboro,1,A,848,283,0,0,"1,131"
Attleboro,1,B,824,299,0,29,"1,152"
Attleboro,2,A,"1,093",409,4,22,"1,528"
Attleboro,2,B,"1,103",419,0,31,"1,553"
Attleboro,3,A,943,375,0,17,"1,335"
Attleboro,3,B,999,404,0,30,"1,433"
Attleboro,4,A,671,366,2,25,"1,064"
Attleboro,4,B,"1,386",477,0,29,"1,892"
Attleboro,5,A,438,326,0,0,764
Attleboro,5,B,926,443,3,32,"1,404"
Attleboro,6,A,853,339,2,25,"1,219"
Attleboro,6,B,983,439,2,34,"1,458"
Auburn,-,1,"1,296",302,5,32,"1,635"
Auburn,-,2,"1,235",338,1,33,"1,607"
Auburn,-,3,"1,294",305,4,32,"1,635"
Auburn,-,4,"1,111",302,4,34,"1,451"
Auburn,-,5,"1,089",297,0,30,"1,416"
Avon,-,1,"1,339",538,3,70,"1,950"
Ayer,-,1,"1,152",451,9,43,"1,655"
Ayer,-,2,"1,244",476,2,35,"1,757"
Barnstable,-,1,"1,595",513,0,61,"2,169"
Barnstable,-,2,"1,435",413,5,55,"1,908"
Barnstable,-,3,913,400,2,34,"1,349"
Barnstable,-,4,"1,314",404,8,52,"1,778"
Barnstable,-,5,"1,621",358,2,49,"2,030"
Barnstable,-,6,"1,453",391,5,53,"1,902"
Barnstable,-,7,"1,643",483,5,54,"2,185"
Barnstable,-,8,806,380,2,31,"1,219"
Barnstable,-,9,481,273,2,24,780
Barnstable,-,10,"1,263",365,3,47,"1,678"
Barnstable,-,11,"1,555",436,3,72,"2,066"
Barnstable,-,12,"1,433",414,6,54,"1,907"
Barnstable,-,13,912,363,4,32,"1,311"
Barre,-,1,851,320,6,29,"1,206"
Barre,-,2,821,213,6,29,"1,069"
Becket,-,1,425,356,3,21,805
Bedford,-,1,"1,262",581,7,41,"1,891"
Bedford,-,2,"1,096",514,12,53,"1,675"
Bedford,-,3,"1,163",562,4,36,"1,765"
Bedford,-,4,"1,055",486,7,47,"1,595"
Belchertown,-,A,"1,128",606,1,33,"1,768"
Belchertown,-,B,"1,187",484,1,51,"1,723"
Belchertown,-,C,"1,343",438,5,69,"1,855"
Belchertown,-,D,"1,008",721,3,36,"1,768"
Bellingham,-,1,"1,027",318,6,40,"1,391"
Bellingham,-,2,"1,191",298,5,49,"1,543"
Bellingham,-,3,"1,119",323,5,27,"1,474"
Bellingham,-,4,997,236,15,28,"1,276"
Bellingham,-,4A,136,27,0,4,167
Bellingham,-,5,"1,087",260,2,36,"1,385"
Belmont,-,1,897,706,6,46,"1,655"
Belmont,-,2,"1,129",561,4,40,"1,734"
Belmont,-,3,921,612,6,39,"1,578"
Belmont,-,4,725,639,1,31,"1,396"
Belmont,-,5,817,685,1,49,"1,552"
Belmont,-,6,875,764,7,34,"1,680"
Belmont,-,7,766,794,2,46,"1,608"
Belmont,-,8,"1,087",638,4,59,"1,788"
Berkley,-,1,"1,183",357,13,64,"1,617"
Berkley,-,2,959,276,1,37,"1,273"
Berlin,-,1,"1,259",457,6,38,"1,760"
Bernardston,-,1,687,347,2,16,"1,052"
Beverly,1,1,"1,044",356,3,49,"1,452"
Beverly,1,2,"1,195",397,2,55,"1,649"
Beverly,2,1,835,608,1,46,"1,490"
Beverly,2,2,988,659,1,52,"1,700"
Beverly,3,1,764,454,2,25,"1,245"
Beverly,3,2,976,415,0,43,"1,434"
Beverly,4,1,735,294,1,36,"1,066"
Beverly,4,2,"1,280",663,1,50,"1,994"
Beverly,5,1,"1,179",385,1,52,"1,617"
Beverly,5,2,"1,209",384,0,48,"1,641"
Beverly,6,1,"1,303",458,2,42,"1,805"
Beverly,6,2,"1,427",385,2,66,"1,880"
Billerica,-,1,"1,189",419,10,56,"1,674"
Billerica,-,2,"1,310",401,6,41,"1,758"
Billerica,-,3,"1,187",409,9,46,"1,651"
Billerica,-,4,"1,072",288,5,49,"1,414"
Billerica,-,5,"1,376",322,16,91,"1,805"
Billerica,-,6,"1,102",352,6,50,"1,510"
Billerica,-,7,"1,109",414,9,53,"1,585"
Billerica,-,8,"1,320",389,10,79,"1,798"
Billerica,-,9,"1,187",349,10,73,"1,619"
Billerica,-,10,"1,310",334,15,66,"1,725"
Billerica,-,11,"1,148",335,5,47,"1,535"
Blackstone,-,1,831,230,1,23,"1,085"
Blackstone,-,2,988,268,2,30,"1,288"
Blackstone,-,3,948,242,4,30,"1,224"
Blandford,-,1,470,106,0,28,604
Bolton,-,1,"2,058",796,23,75,"2,952"
Boston,1,1,430,421,1,16,868
Boston,1,2,248,324,0,9,581
Boston,1,3,605,715,4,25,"1,349"
Boston,1,4,237,278,4,15,534
Boston,1,5,334,330,4,18,686
Boston,1,6,262,302,2,16,582
Boston,1,7,255,316,4,16,591
Boston,1,8,355,405,5,14,779
Boston,1,9,273,301,6,14,594
Boston,1,10,170,179,0,21,370
Boston,1,11,505,313,1,32,851
Boston,1,12,530,275,4,17,826
Boston,1,13,559,403,4,30,996
Boston,1,14,262,169,5,14,450
Boston,1,15,1,1,0,0,2
Boston,2,1,"1,021",384,8,45,"1,458"
Boston,2,2,970,603,5,47,"1,625"
Boston,2,3,729,298,0,20,"1,047"
Boston,2,4,570,300,3,28,901
Boston,2,5,767,323,3,23,"1,116"
Boston,2,6,871,374,3,34,"1,282"
Boston,2,7,675,381,3,20,"1,079"
Boston,3,1,"1,340",557,5,45,"1,947"
Boston,3,2,618,334,3,16,971
Boston,3,3,709,384,4,16,"1,113"
Boston,3,4,756,496,2,27,"1,281"
Boston,3,5,"1,093",839,3,37,"1,972"
Boston,3,6,"1,627",988,10,48,"2,673"
Boston,3,7,"1,321","1,032",3,26,"2,382"
Boston,3,8,"1,533","1,410",6,61,"3,010"
Boston,4,1,694,546,1,26,"1,267"
Boston,4,2,"1,062",726,2,38,"1,828"
Boston,4,3,473,363,0,17,853
Boston,4,4,622,525,1,19,"1,167"
Boston,4,5,386,445,0,21,852
Boston,4,6,308,391,2,20,721
Boston,4,7,272,397,1,9,679
Boston,4,8,265,453,3,16,737
Boston,4,9,126,259,0,4,389
Boston,4,10,109,218,1,6,334
Boston,5,1,"1,378","1,055",2,33,"2,468"
Boston,5,2,369,530,1,16,916
Boston,5,2A,246,313,2,7,568
Boston,5,3,715,408,5,21,"1,149"
Boston,5,4,735,655,3,17,"1,410"
Boston,5,5,348,133,1,9,491
Boston,5,6,768,390,2,13,"1,173"
Boston,5,7,881,497,1,21,"1,400"
Boston,5,8,751,494,0,21,"1,266"
Boston,5,9,957,683,2,27,"1,669"
Boston,5,10,430,494,1,23,948
Boston,5,11,523,251,7,15,796
Boston,6,1,"1,964","1,284",12,45,"3,305"
Boston,6,2,503,288,2,22,815
Boston,6,3,736,375,6,23,"1,140"
Boston,6,4,766,345,6,24,"1,141"
Boston,6,5,694,344,5,37,"1,080"
Boston,6,6,673,224,6,47,950
Boston,6,7,795,256,3,23,"1,077"
Boston,6,8,677,257,5,25,964
Boston,6,9,651,197,9,43,900
Boston,7,1,649,200,0,34,883
Boston,7,2,787,282,11,30,"1,110"
Boston,7,3,875,347,3,34,"1,259"
Boston,7,4,600,321,2,42,965
Boston,7,5,580,321,2,17,920
Boston,7,6,431,337,0,16,784
Boston,7,7,225,252,1,16,494
Boston,7,8,386,282,2,22,692
Boston,7,9,342,315,4,13,674
Boston,7,10,208,340,2,7,557
Boston,8,1,294,386,3,10,693
Boston,8,2,596,762,7,23,"1,388"
Boston,8,3,185,341,6,17,549
Boston,8,4,106,204,2,7,319
Boston,8,5,231,389,0,12,632
Boston,8,6,95,126,0,7,228
Boston,8,7,148,268,0,5,421
Boston,9,1,503,527,1,25,"1,056"
Boston,9,2,651,704,3,23,"1,381"
Boston,9,3,496,971,5,24,"1,496"
Boston,9,4,317,507,1,23,848
Boston,9,5,345,634,4,43,"1,026"
Boston,10,1,206,270,1,15,492
Boston,10,2,160,268,2,10,440
Boston,10,3,154,306,0,20,480
Boston,10,4,376,482,0,27,885
Boston,10,5,190,417,3,17,627
Boston,10,6,182,473,0,14,669
Boston,10,7,251,633,2,17,903
Boston,10,8,364,786,3,18,"1,171"
Boston,10,9,430,895,4,11,"1,340"
Boston,11,1,174,340,4,7,525
Boston,11,2,243,505,0,150,898
Boston,11,3,184,418,0,18,620
Boston,11,4,330,759,5,29,"1,123"
Boston,11,5,267,590,2,21,880
Boston,11,6,219,583,1,20,823
Boston,11,7,288,734,2,18,"1,042"
Boston,11,8,342,925,1,19,"1,287"
Boston,11,9,212,549,0,11,772
Boston,11,10,218,703,5,26,952
Boston,12,1,280,534,4,29,847
Boston,12,2,331,607,0,26,964
Boston,12,3,169,306,0,7,482
Boston,12,4,184,327,0,11,522
Boston,12,5,130,220,1,9,360
Boston,12,6,148,297,0,18,463
Boston,12,7,308,570,1,20,899
Boston,12,8,126,236,4,14,380
Boston,12,9,167,310,2,17,496
Boston,13,1,218,387,3,19,627
Boston,13,2,83,152,2,7,244
Boston,13,3,240,383,0,15,638
Boston,13,4,186,275,0,8,469
Boston,13,5,211,309,1,14,535
Boston,13,6,335,400,4,15,754
Boston,13,7,433,410,7,15,865
Boston,13,8,340,350,6,16,712
Boston,13,9,371,376,3,25,775
Boston,13,10,652,479,2,35,"1,168"
Boston,14,1,342,616,4,28,990
Boston,14,2,367,688,0,32,"1,087"
Boston,14,3,190,309,0,12,511
Boston,14,4,226,351,1,11,589
Boston,14,5,175,257,0,18,450
Boston,14,6,178,289,0,11,478
Boston,14,7,180,290,0,12,482
Boston,14,8,230,358,0,23,611
Boston,14,9,159,314,1,16,490
Boston,14,10,202,348,2,23,575
Boston,14,11,186,335,0,19,540
Boston,14,12,119,201,0,14,334
Boston,14,13,181,306,2,13,502
Boston,14,14,196,371,1,21,589
Boston,15,1,255,378,0,24,657
Boston,15,2,153,254,4,11,422
Boston,15,3,102,174,2,13,291
Boston,15,4,302,554,4,31,891
Boston,15,5,177,350,0,16,543
Boston,15,6,231,134,3,12,380
Boston,15,7,170,295,2,23,490
Boston,15,8,214,217,1,15,447
Boston,15,9,190,271,2,21,484
Boston,16,1,244,264,0,15,523
Boston,16,2,287,219,4,16,526
Boston,16,3,312,417,2,23,754
Boston,16,4,323,329,0,17,669
Boston,16,5,442,333,2,21,798
Boston,16,6,427,504,0,22,953
Boston,16,7,536,250,4,33,823
Boston,16,8,541,365,3,29,938
Boston,16,9,704,253,6,41,"1,004"
Boston,16,10,509,244,4,23,780
Boston,16,11,572,350,2,35,959
Boston,16,12,663,163,2,35,863
Boston,17,1,220,287,1,13,521
Boston,17,2,156,255,2,10,423
Boston,17,3,345,557,2,25,929
Boston,17,4,503,543,3,25,"1,074"
Boston,17,5,147,238,2,10,397
Boston,17,6,257,423,3,16,699
Boston,17,7,139,222,2,8,371
Boston,17,8,240,395,2,13,650
Boston,17,9,219,365,1,11,596
Boston,17,10,297,446,5,18,766
Boston,17,11,80,225,2,4,311
Boston,17,12,239,316,0,17,572
Boston,17,13,403,390,4,24,821
Boston,17,14,348,455,3,17,823
Boston,18,1,432,629,0,13,"1,074"
Boston,18,2,298,423,2,16,739
Boston,18,3,350,508,0,15,873
Boston,18,4,363,474,1,18,856
Boston,18,5,396,526,3,33,958
Boston,18,6,499,686,0,27,"1,212"
Boston,18,7,379,476,1,18,874
Boston,18,8,571,830,3,43,"1,447"
Boston,18,9,429,529,2,20,980
Boston,18,10,590,825,4,31,"1,450"
Boston,18,11,338,431,0,10,779
Boston,18,12,496,431,8,31,966
Boston,18,13,219,303,0,20,542
Boston,18,14,200,312,1,13,526
Boston,18,15,311,503,0,25,839
Boston,18,16,671,391,3,44,"1,109"
Boston,18,17,446,444,7,15,912
Boston,18,18,540,575,1,46,"1,162"
Boston,18,19,739,741,3,29,"1,512"
Boston,18,20,802,511,3,47,"1,363"
Boston,18,21,413,566,3,18,"1,000"
Boston,18,22,615,474,2,34,"1,125"
Boston,18,23,299,448,0,16,763
Boston,19,1,238,781,2,12,"1,033"
Boston,19,2,623,533,3,26,"1,185"
Boston,19,3,345,495,0,10,850
Boston,19,4,310,879,2,22,"1,213"
Boston,19,5,304,631,4,20,959
Boston,19,6,414,895,1,18,"1,328"
Boston,19,7,359,857,3,24,"1,243"
Boston,19,8,240,413,1,11,665
Boston,19,9,198,450,1,5,654
Boston,19,10,441,657,2,24,"1,124"
Boston,19,11,273,597,0,26,896
Boston,19,12,328,500,4,15,847
Boston,19,13,262,414,1,10,687
Boston,20,1,495,484,7,33,"1,019"
Boston,20,2,450,580,0,15,"1,045"
Boston,20,3,638,391,4,32,"1,065"
Boston,20,4,349,580,1,27,957
Boston,20,5,642,339,6,34,"1,021"
Boston,20,6,749,425,8,37,"1,219"
Boston,20,7,433,342,2,23,800
Boston,20,8,391,448,2,9,850
Boston,20,9,410,451,7,27,895
Boston,20,10,844,415,3,50,"1,312"
Boston,20,11,355,247,7,17,626
Boston,20,12,488,224,7,25,744
Boston,20,13,481,239,2,22,744
Boston,20,14,465,223,10,28,726
Boston,20,15,749,396,6,40,"1,191"
Boston,20,16,800,403,4,54,"1,261"
Boston,20,17,932,437,9,69,"1,447"
Boston,20,18,398,290,3,27,718
Boston,20,19,486,213,4,36,739
Boston,20,20,722,468,10,33,"1,233"
Boston,21,1,415,590,3,14,"1,022"
Boston,21,2,98,207,0,6,311
Boston,21,3,206,446,2,12,666
Boston,21,4,149,440,1,11,601
Boston,21,5,309,627,0,11,947
Boston,21,6,268,376,4,11,659
Boston,21,7,243,520,4,15,782
Boston,21,8,311,730,1,11,"1,053"
Boston,21,9,341,611,3,16,971
Boston,21,10,330,537,2,14,883
Boston,21,11,374,634,3,10,"1,021"
Boston,21,12,375,567,6,20,968
Boston,21,13,621,550,3,22,"1,196"
Boston,21,14,265,405,2,10,682
Boston,21,15,270,513,2,12,797
Boston,21,16,457,478,3,11,949
Boston,22,1,406,632,4,21,"1,063"
Boston,22,2,485,846,4,29,"1,364"
Boston,22,3,515,615,2,16,"1,148"
Boston,22,4,398,435,2,15,850
Boston,22,5,268,343,0,18,629
Boston,22,6,261,418,2,20,701
Boston,22,7,455,556,2,22,"1,035"
Boston,22,8,389,292,4,32,717
Boston,22,9,403,405,2,16,826
Boston,22,10,433,516,9,13,971
Boston,22,11,325,312,3,24,664
Boston,22,12,286,330,1,22,639
Boston,22,13,337,288,2,23,650
Bourne,-,1,"1,029",244,5,49,"1,327"
Bourne,-,2,"1,226",337,6,53,"1,622"
Bourne,-,3,679,175,1,24,879
Bourne,-,4,"1,240",317,0,56,"1,613"
Bourne,-,5,"1,110",357,4,40,"1,511"
Bourne,-,6,811,251,8,35,"1,105"
Bourne,-,7,996,264,6,49,"1,315"
Boxborough,-,1,"1,758",917,0,76,"2,751"
Boxford,-,1,"1,095",278,8,36,"1,417"
Boxford,-,2,"1,207",327,11,52,"1,597"
Boxford,-,3,"1,132",264,8,52,"1,456"
Boylston,-,1,"1,923",497,0,73,"2,493"
Braintree,-,1A,"1,037",295,5,62,"1,399"
Braintree,-,1B,907,352,4,51,"1,314"
Braintree,-,2A,"1,144",373,7,55,"1,579"
Braintree,-,2B,"1,098",319,6,68,"1,491"
Braintree,-,3A,806,351,3,48,"1,208"
Braintree,-,3B,943,341,7,39,"1,330"
Braintree,-,4A,838,329,6,57,"1,230"
Braintree,-,4B,825,358,7,45,"1,235"
Braintree,-,5A,971,372,11,62,"1,416"
Braintree,-,5B,"1,144",389,6,60,"1,599"
Braintree,-,6A,"1,226",347,15,71,"1,659"
Braintree,-,6B,"1,155",363,7,62,"1,587"
Brewster,-,1,"1,376",625,5,47,"2,053"
Brewster,-,2,"1,405",541,5,48,"1,999"
Brewster,-,3,"1,386",516,5,44,"1,951"
Bridgewater,-,1,"1,670",414,7,81,"2,172"
Bridgewater,-,2,"1,351",385,14,72,"1,822"
Bridgewater,-,3,"1,740",377,7,72,"2,196"
Bridgewater,-,4,718,192,2,32,944
Bridgewater,-,5,393,165,2,31,591
Bridgewater,-,6,869,375,1,30,"1,275"
Bridgewater,-,7,"1,151",387,7,71,"1,616"
Brimfield,-,1,"1,369",383,10,50,"1,812"
Brockton,1,A,327,408,0,14,749
Brockton,1,B,621,480,2,37,"1,140"
Brockton,1,C,569,385,0,20,974
Brockton,1,D,975,465,2,47,"1,489"
Brockton,2,A,158,392,0,26,576
Brockton,2,B,235,312,3,15,565
Brockton,2,C,171,333,0,21,525
Brockton,2,D,408,396,0,28,832
Brockton,3,A,406,436,2,19,863
Brockton,3,B,322,402,0,14,738
Brockton,3,C,822,473,4,28,"1,327"
Brockton,3,D,822,414,3,41,"1,280"
Brockton,4,A,213,280,0,10,503
Brockton,4,B,481,469,0,15,965
Brockton,4,C,613,432,0,17,"1,062"
Brockton,4,D,614,417,0,28,"1,059"
Brockton,5,A,299,419,3,22,743
Brockton,5,B,652,427,5,37,"1,121"
Brockton,5,C,426,504,1,41,972
Brockton,5,D,666,470,1,31,"1,168"
Brockton,6,A,389,392,1,17,799
Brockton,6,B,782,448,2,37,"1,269"
Brockton,6,C,583,448,1,20,"1,052"
Brockton,6,D,828,377,2,39,"1,246"
Brockton,7,A,282,394,0,18,694
Brockton,7,B,475,535,1,29,"1,040"
Brockton,7,C,406,456,2,31,895
Brockton,7,D,564,460,1,19,"1,044"
Brookfield,-,1,"1,175",306,8,42,"1,531"
Brookline,-,1,696,817,1,41,"1,555"
Brookline,-,2,370,568,0,21,959
Brookline,-,3,652,926,3,36,"1,617"
Brookline,-,4,589,790,3,30,"1,412"
Brookline,-,5,710,924,2,54,"1,690"
Brookline,-,6,678,"1,015",4,17,"1,714"
Brookline,-,7,657,901,0,28,"1,586"
Brookline,-,8,587,974,0,30,"1,591"
Brookline,-,9,609,913,2,37,"1,561"
Brookline,-,10,720,932,1,28,"1,681"
Brookline,-,11,678,961,1,23,"1,663"
Brookline,-,12,896,"1,006",3,30,"1,935"
Brookline,-,13,815,830,1,23,"1,669"
Brookline,-,14,937,747,2,33,"1,719"
Brookline,-,15,"1,067",552,1,34,"1,654"
Brookline,-,16,828,641,1,31,"1,501"
Buckland,-,1,521,431,4,20,976
Burlington,-,1,"1,387",406,6,59,"1,858"
Burlington,-,2,757,357,4,36,"1,154"
Burlington,-,3,"1,199",366,4,66,"1,635"
Burlington,-,4,"1,076",380,3,55,"1,514"
Burlington,-,5,"1,325",449,9,71,"1,854"
Burlington,-,6,"1,310",375,9,60,"1,754"
Burlington,-,7,"1,174",483,7,59,"1,723"
Cambridge,1,1,690,905,3,34,"1,632"
Cambridge,1,2,495,744,4,47,"1,290"
Cambridge,1,3,587,858,3,45,"1,493"
Cambridge,2,1,329,836,1,38,"1,204"
Cambridge,2,2,136,300,0,15,451
Cambridge,2,3,281,477,1,19,778
Cambridge,3,1,493,841,1,26,"1,361"
Cambridge,3,2,274,618,0,14,906
Cambridge,3,2A,196,443,1,20,660
Cambridge,3,3,329,942,1,26,"1,298"
Cambridge,4,1,485,"1,103",1,22,"1,611"
Cambridge,4,2,514,"1,187",2,29,"1,732"
Cambridge,4,3,166,369,2,8,545
Cambridge,5,1,432,"1,082",0,38,"1,552"
Cambridge,5,2,554,"1,048",1,35,"1,638"
Cambridge,5,3,381,825,4,24,"1,234"
Cambridge,6,1,514,"1,182",4,36,"1,736"
Cambridge,6,2,489,"1,013",1,38,"1,541"
Cambridge,6,3,573,"1,112",3,28,"1,716"
Cambridge,7,1,484,"1,143",1,29,"1,657"
Cambridge,7,2,251,615,5,20,891
Cambridge,7,3,140,347,0,6,493
Cambridge,8,1,368,761,2,22,"1,153"
Cambridge,8,2,509,673,0,32,"1,214"
Cambridge,8,3,92,213,0,8,313
Cambridge,9,1,824,"1,151",2,40,"2,017"
Cambridge,9,2,807,"1,190",3,28,"2,028"
Cambridge,9,3,676,944,2,35,"1,657"
Cambridge,10,1,556,"1,327",2,31,"1,916"
Cambridge,10,2,600,"1,291",0,31,"1,922"
Cambridge,10,3,468,"1,032",5,25,"1,530"
Cambridge,11,1,505,905,0,24,"1,434"
Cambridge,11,2,669,"1,393",3,40,"2,105"
Cambridge,11,3,555,"1,096",3,28,"1,682"
Canton,-,1,"1,136",471,4,55,"1,666"
Canton,-,2,"1,331",579,4,66,"1,980"
Canton,-,3,"1,212",457,6,46,"1,721"
Canton,-,4,"1,613",455,3,79,"2,150"
Canton,-,5,"1,363",466,1,68,"1,898"
Canton,-,6,"1,183",412,5,63,"1,663"
Carlisle,-,1,"1,869","1,052",5,63,"2,989"
Carver,-,1,"1,255",324,7,63,"1,649"
